the_geom,COMPLEXID,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-74.00872873532006 40.707023518172285),0,,23180,2,4136,1,1001012,1,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,9,NYPD,,1000604,OUR LADY OF VICTORY CHURCH
POINT (-73.79677681064477 40.71897037794777),518,X,325891,1,9482,7,4542619,4,05/14/2009 12:00:00 AM +0000,03/03/2021 12:00:00 AM +0000,2,DoITT,46365022,0,ST JOHNS U DASILVA HALL
POINT (-73.79567662080306 40.718894942827006),518,X,325891,1,8064,7,4542620,4,05/14/2009 12:00:00 AM +0000,03/03/2021 12:00:00 AM +0000,2,DoITT,46365023,0,ST JOHNS U HOLLIS HALL
POINT (-73.97331390967537 40.75730219323502),0,,165394,1,14350,2,1036450,1,05/14/2009 12:00:00 AM +0000,11/28/2016 12:00:00 AM +0000,5,DoITT,,1031274,ST BARTS COMMUNITY PRESCHOOL
POINT (-73.92205288042025 40.65861464353937),0,N,128315,1,16011,9,0,3,05/14/2009 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,4,DoITT,31366501,0,KENNEDY KING PLAYGROUND
POINT (-73.87971304993829 40.67447801468844),0,,48128,1,16956,2,3089020,3,05/14/2009 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,5,DoITT,,3120449,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER BERRIMAN ST
POINT (-73.85821084428095 40.80778170205449),3560,N,85243,1,16390,1,0,2,05/14/2009 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,4,DPR,20086301,0,HARDING PARK BEAUTIFICATION PROJECT
POINT (-73.91825388004997 40.82045015067226),0,N,70087,1,504,9,0,2,05/14/2009 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,4,DoITT,20084201,0,MELROSE PLAYGROUND
POINT (-73.93881299653714 40.82048182007829),306,X,9004109,1,1019011,3,1060152,1,02/25/2013 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,1,OTHER,11123012,1051621,SAMUEL CITY HOUSES BUILDING 8
POINT (-73.93904896092711 40.82057923865227),306,X,9004111,1,1019012,3,1060154,1,02/25/2013 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,1,OTHER,11123013,1051623,SAMUEL CITY HOUSES BUILDING 9
POINT (-73.78463373333139 40.64783925934952),413,X,284430,2,1027055,4,4542247,4,11/04/2015 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,6,OTHER,40029406,0,JFK BUILDING 61
POINT (-73.84001631625124 40.847280258434175),0,X,108293,2,1027294,1,2127417,2,02/01/2016 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,10,OTHER,21543704,5169683,BRONX PSYCHIATRIC CENTER CENTRAL SERVICES BUILDING
